Customer,State Code,Coverage,Education,Accident Date,Report Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Policy Type,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
BU79786,KS,Basic,Bachelor,9/8/2013,8/12/2016,Employed,F,56274,Suburban,Married,Corporate Auto,Collision,Agent,384.811147,Two-Door Car,Medsize
QZ44356,NE,Extended,Bachelor,15/1/2017,29/6/2017,Unemployed,F,0,Suburban,Single,Personal Auto,Scratch/Dent,Agent,1131.464935,Four-Door Car,Medsize
AI49188,OK,Premium,Bachelor,28/4/2010,5/7/2016,Employed,F,48767,Suburban,Married,Personal Auto,Collision,Agent,566.472247,Two-Door Car,Medsize
WW63253,MO,Basic,Bachelor,3/7/2015,19/4/2017,Unemployed,M,0,Suburban,Married,Corporate Auto,Collision,Call Center,529.881344,SUV,Medsize
HB64268,KS,Basic,Bachelor,30/8/2017,12/9/2017,Employed,M,43836,Rural,Single,Personal Auto,Collision,Agent,138.130879,Four-Door Car,Medsize
OC83172,IA,Basic,Bachelor,18/10/2016,24/4/2017,Employed,F,62902,Rural,Married,Personal Auto,Hail,Web,159.383042,Two-Door Car,Medsize
XZ87318,IA,Basic,College,14/3/2015,27/11/2016,Employed,F,55350,Suburban,Married,Corporate Auto,Collision,Agent,321.6,Four-Door Car,Medsize
CF85061,NE,Premium,Master,8/10/2014,5/5/2015,Unemployed,M,0,Urban,Single,Corporate Auto,Collision,Agent,363.02968,Four-Door Car,Medsize
DY87989,IA,Basic,Bachelor,4/6/2015,28/8/2015,Medical Leave,M,14072,Suburban,Divorced,Corporate Auto,Collision,Agent,511.2,Four-Door Car,Medsize
BQ94931,IA,Extended,College,27/12/2016,20/6/2017,Employed,F,28812,Urban,Married,Special Auto,Hail,Branch,425.527834,Four-Door Car,Medsize
SX51350,MO,Basic,College,28/11/2010,11/4/2011,Unemployed,M,0,Suburban,Single,Personal Auto,Collision,Agent,482.4,Four-Door Car,Small
VQ65197,MO,Basic,College,6/9/2012,26/7/2017,Unemployed,F,0,Suburban,Married,Personal Auto,Hail,Agent,528,SUV,Medsize
DP39365,MO,Premium,Master,24/6/2014,7/2/2015,Employed,M,77026,Urban,Married,Corporate Auto,Hail,Agent,472.029737,Four-Door Car,Medsize
SJ95423,NE,Basic,High School or Below,7/3/2017,26/3/2017,Employed,M,99845,Suburban,Married,Corporate Auto,Hail,Branch,528,SUV,Medsize
IL66569,MO,Basic,College,29/8/2010,28/1/2013,Employed,M,83689,Urban,Single,Corporate Auto,Other,Call Center,307.139132,Four-Door Car,Medsize
BW63560,IA,Basic,Bachelor,5/3/2012,14/5/2014,Employed,F,24599,Rural,Married,Corporate Auto,Hail,Branch,42.920271,Four-Door Car,Medsize
FV94802,OK,Basic,High School or Below,1/4/2013,8/1/2017,Medical Leave,M,25049,Suburban,Married,Personal Auto,Hail,Call Center,454.245098,Two-Door Car,Medsize
OE15005,MO,Basic,College,19/10/2016,12/3/2017,Medical Leave,M,28855,Suburban,Married,Personal Auto,Scratch/Dent,Call Center,647.442031,SUV,Medsize
WC83389,IA,Basic,College,24/7/2010,15/7/2015,Employed,M,51148,Urban,Married,Personal Auto,Hail,Branch,308.981664,Four-Door Car,Medsize
FL50705,MO,Premium,High School or Below,20/11/2013,22/12/2013,Employed,F,66140,Suburban,Married,Corporate Auto,Collision,Call Center,484.8,Four-Door Car,Small
ZK25313,IA,Basic,High School or Below,20/2/2016,3/4/2017,Employed,M,57749,Suburban,Single,Personal Auto,Collision,Branch,355.2,Two-Door Car,Medsize
SV62436,KS,Extended,Bachelor,8/12/2015,8/1/2017,Disabled,F,13789,Suburban,Divorced,Personal Auto,Other,Call Center,379.2,Four-Door Car,Medsize
YH23384,NE,Basic,Bachelor,28/9/2011,30/6/2012,Medical Leave,M,14072,Suburban,Divorced,Personal Auto,Collision,Agent,511.2,Four-Door Car,Medsize
