Companies,Cov_Score,Prices,Reviews,Title,Excess,Personal accident coverage for driver,Medical expenses,Towing service,Daily transport allowance,age,marital_status,gender,driving_years,no_claims_discount,car_bought_years,car_brand,car_type
FWD,"6.0
  / 10","$ 1,958 /year $2,447",0 Review ,Classic 20% Off,$1000,"$30,000","$1,000",$300,"$40/day, max 6 days",44,Married,Male,0,30%,2012,LEXUS,RX450h
FWD,"7.2
  / 10","$ 2,251 /year $2,814",0 Review ,Executive 20% Off,$1000,"$50,000","$3,000",$400,"$60/day, max 8 days",44,Married,Male,0,30%,2012,LEXUS,RX450h
FWD,"8.4
  / 10","$ 2,447 /year $3,059",0 Review ,Prestige 20% Off,$1000,"$75,000","$5,000",$500,"$80/day, max 10 days",44,Married,Male,0,30%,2012,LEXUS,RX450h
Hong Leong Group,"6.8
  / 10","$ 2,541 /year $3,389",20 Reviews ,HL Assurance - Authorised Workshop 25% Off,$750,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",44,Married,Male,0,30%,2012,LEXUS,RX450h
Hong Leong Group,"6.0
  / 10","$ 2,990 /year $3,987",20 Reviews ,HL Assurance - Any Workshop 25% Off,$1500,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",44,Married,Male,0,30%,2012,LEXUS,RX450h
AXA,"8.0
  / 10",Quotes not available online,0 Review ,FlexiFamily ,Not available,"$60,000","$5,000 per person",$500,,44,Married,Male,0,30%,2012,LEXUS,RX450h
Tokio Marine,"8.0
  / 10",Quotes not available online,0 Review ,Private Car ,Not available,"Insured: $50,000","$1,000 per person",$500,$40 per day,44,Married,Male,0,30%,2012,LEXUS,RX450h
AIG,"6.8
  / 10",Quotes not available online,2 Reviews ,Auto Plus ,Not available,"Insured: $50,000",$300 per person,$500,Courtesy car,44,Married,Male,0,30%,2012,LEXUS,RX450h
AIG,"6.0
  / 10",Quotes not available online,2 Reviews ,Auto Value ,Not available,"Insured: $20,000",$300 per person,$500,Optional: Courtesy car,44,Married,Male,0,30%,2012,LEXUS,RX450h
AIG,"5.2
  / 10",Quotes not available online,2 Reviews ,Auto Plan ,Not available,"Insured: $20,000",$300 per person,$300,Optional: Courtesy car,44,Married,Male,0,30%,2012,LEXUS,RX450h
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Flexi ,Not available,Optional benefit,"$1,000 per person",$500,,44,Married,Male,0,30%,2012,LEXUS,RX450h
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Peace ,Not available,Optional benefit,"$1,000 per person",$500,,44,Married,Male,0,30%,2012,LEXUS,RX450h
AXA,"4.0
  / 10",Quotes not available online,0 Review ,Essential ,Not available,Optional benefit,Optional benefit,$500,,44,Married,Male,0,30%,2012,LEXUS,RX450h
