Companies,Cov_Score,Prices,Reviews,Title,Excess,Personal accident coverage for driver,Medical expenses,Towing service,Daily transport allowance,age,marital_status,gender,driving_years,no_claims_discount,car_bought_years,car_brand,car_type
DirectAsia,"4.0
  / 10",$ 701 /year ,30 Reviews ,"Red: Low Mileage Plan (Maximum 8,000km per year) ",$800,"Optional Benefit:
Up to $500,000","Up to $500/person
(Driver & Passengers)","Singapore: Max $200
West Malaysia/Southern Thailand: Max $500","Optional Benefit:
$50/day, max 10 days
(Max 20 days/policy period)",46,Single,Female,4,30%,2014,GEELY,CK 1.5
DirectAsia,"4.0
  / 10",$ 888 /year ,30 Reviews ,Yellow: Unlimited Mileage Plan ,$800,"Optional Benefit:
Up to $500,000","Up to $500/person
(Driver & Passengers)","Singapore: Max $200
West Malaysia/Southern Thailand: Max $500","Optional Benefit:
$50/day, max 10 days
(Max 20 days/policy period)",46,Single,Female,4,30%,2014,GEELY,CK 1.5
Hong Leong Group,"7.6
  / 10","$ 1,055 /year $1,407",20 Reviews ,HL Assurance - Authorised Workshop 25% Off,$300,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",46,Single,Female,4,30%,2014,GEELY,CK 1.5
Liberty,"6.4
  / 10","$ 1,116 /year ",1 Review ,Comprehensive Preferred ,$600,"Insured: $20,000",$300 per person,$300,"Courtesy Car:
Up to 5 days",46,Single,Female,4,30%,2014,GEELY,CK 1.5
Aviva,"6.0
  / 10","$ 1,126 /year ",13 Reviews ,Aviva Car ,$500,"Insured: $20,000
Optional: Increase of $100,000","$1,000 per person",Covered,Optional: 10 days,46,Single,Female,4,30%,2014,GEELY,CK 1.5
DirectAsia,"7.6
  / 10","$ 1,132 /year ",30 Reviews ,Black ,$500,"$100,000","Up to $500/person
(Driver & Passengers)","Singapore: Max $200
West Malaysia / Southern Thailand: Max $500","$50/day, max 10 days
(Max 20 days/policy period)",46,Single,Female,4,30%,2014,GEELY,CK 1.5
Hong Leong Group,"7.2
  / 10","$ 1,241 /year $1,655",20 Reviews ,HL Assurance - Any Workshop 25% Off,$600,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",46,Single,Female,4,30%,2014,GEELY,CK 1.5
Liberty,"6.4
  / 10","$ 1,339 /year ",1 Review ,Comprehensive Standard ,$600,"Insured: $20,000",$300 per person,$300,"Courtesy Car:
Up to 5 days",46,Single,Female,4,30%,2014,GEELY,CK 1.5
AXA,"8.0
  / 10",Quotes not available online,0 Review ,FlexiFamily ,Not available,"$60,000","$5,000 per person",$500,,46,Single,Female,4,30%,2014,GEELY,CK 1.5
Tokio Marine,"8.0
  / 10",Quotes not available online,0 Review ,Private Car ,Not available,"Insured: $50,000","$1,000 per person",$500,$40 per day,46,Single,Female,4,30%,2014,GEELY,CK 1.5
AIG,"6.8
  / 10",Quotes not available online,2 Reviews ,Auto Plus ,Not available,"Insured: $50,000",$300 per person,$500,Courtesy car,46,Single,Female,4,30%,2014,GEELY,CK 1.5
AXA,"6.4
  / 10",Quotes not available online,0 Review ,ForHer ,Not available,Optional benefit,"$1,000 per person",$500,$50 per day,46,Single,Female,4,30%,2014,GEELY,CK 1.5
AIG,"6.0
  / 10",Quotes not available online,2 Reviews ,Auto Value ,Not available,"Insured: $20,000",$300 per person,$500,Optional: Courtesy car,46,Single,Female,4,30%,2014,GEELY,CK 1.5
AIG,"5.2
  / 10",Quotes not available online,2 Reviews ,Auto Plan ,Not available,"Insured: $20,000",$300 per person,$300,Optional: Courtesy car,46,Single,Female,4,30%,2014,GEELY,CK 1.5
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Flexi ,Not available,Optional benefit,"$1,000 per person",$500,,46,Single,Female,4,30%,2014,GEELY,CK 1.5
AXA,"4.0
  / 10",Quotes not available online,0 Review ,Essential ,Not available,Optional benefit,Optional benefit,$500,,46,Single,Female,4,30%,2014,GEELY,CK 1.5
