Companies,Cov_Score,Prices,Reviews,Title,Excess,Personal accident coverage for driver,Medical expenses,Towing service,Daily transport allowance,age,marital_status,gender,driving_years,no_claims_discount,car_bought_years,car_brand,car_type
FWD,"6.8
  / 10",$ 793 /year $991,0 Review ,Classic 20% Off,$600,"$30,000","$1,000",$300,"$40/day, max 6 days",34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
FWD,"8.0
  / 10","$ 912 /year $1,140",0 Review ,Executive 20% Off,$600,"$50,000","$3,000",$400,"$60/day, max 8 days",34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
FWD,"9.2
  / 10","$ 991 /year $1,239",0 Review ,Prestige 20% Off,$600,"$75,000","$5,000",$500,"$80/day, max 10 days",34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
AXA,"8.0
  / 10",Quotes not available online,0 Review ,FlexiFamily ,Not available,"$60,000","$5,000 per person",$500,,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
Tokio Marine,"8.0
  / 10",Quotes not available online,0 Review ,Private Car ,Not available,"Insured: $50,000","$1,000 per person",$500,$40 per day,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
AIG,"6.8
  / 10",Quotes not available online,2 Reviews ,Auto Plus ,Not available,"Insured: $50,000",$300 per person,$500,Courtesy car,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
AIG,"6.0
  / 10",Quotes not available online,2 Reviews ,Auto Value ,Not available,"Insured: $20,000",$300 per person,$500,Optional: Courtesy car,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
AIG,"5.2
  / 10",Quotes not available online,2 Reviews ,Auto Plan ,Not available,"Insured: $20,000",$300 per person,$300,Optional: Courtesy car,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Flexi ,Not available,Optional benefit,"$1,000 per person",$500,,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Peace ,Not available,Optional benefit,"$1,000 per person",$500,,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
AXA,"4.0
  / 10",Quotes not available online,0 Review ,Essential ,Not available,Optional benefit,Optional benefit,$500,,34,Single,Male,11,50%,2010,INFINITI,Q30 1.5
