Companies,Cov_Score,Prices,Reviews,Title,Excess,Personal accident coverage for driver,Medical expenses,Towing service,Daily transport allowance,age,marital_status,gender,driving_years,no_claims_discount,car_bought_years,car_brand,car_type
FWD,"6.8
  / 10","$ 1,096 /year $1,371",0 Review ,Classic 20% Off,$600,"$30,000","$1,000",$300,"$40/day, max 6 days",62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
Hong Leong Group,"7.2
  / 10","$ 1,237 /year $1,649",20 Reviews ,HL Assurance - Authorised Workshop 25% Off,$500,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
FWD,"8.0
  / 10","$ 1,261 /year $1,576",0 Review ,Executive 20% Off,$600,"$50,000","$3,000",$400,"$60/day, max 8 days",62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
FWD,"9.2
  / 10","$ 1,371 /year $1,713",0 Review ,Prestige 20% Off,$600,"$75,000","$5,000",$500,"$80/day, max 10 days",62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
Hong Leong Group,"6.4
  / 10","$ 1,455 /year $1,941",20 Reviews ,HL Assurance - Any Workshop 25% Off,$1000,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
AXA,"8.0
  / 10",Quotes not available online,0 Review ,FlexiFamily ,Not available,"$60,000","$5,000 per person",$500,,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
Tokio Marine,"8.0
  / 10",Quotes not available online,0 Review ,Private Car ,Not available,"Insured: $50,000","$1,000 per person",$500,$40 per day,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
AIG,"6.8
  / 10",Quotes not available online,2 Reviews ,Auto Plus ,Not available,"Insured: $50,000",$300 per person,$500,Courtesy car,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
AXA,"6.4
  / 10",Quotes not available online,0 Review ,ForHer ,Not available,Optional benefit,"$1,000 per person",$500,$50 per day,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
AIG,"6.0
  / 10",Quotes not available online,2 Reviews ,Auto Value ,Not available,"Insured: $20,000",$300 per person,$500,Optional: Courtesy car,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
AIG,"5.2
  / 10",Quotes not available online,2 Reviews ,Auto Plan ,Not available,"Insured: $20,000",$300 per person,$300,Optional: Courtesy car,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Flexi ,Not available,Optional benefit,"$1,000 per person",$500,,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
AXA,"4.0
  / 10",Quotes not available online,0 Review ,Essential ,Not available,Optional benefit,Optional benefit,$500,,62,Married,Female,15 and above,50%,2016,SUBARU,Legacy Combi 3.0 R 4WD
