Companies,Cov_Score,Prices,Reviews,Title,Excess,Personal accident coverage for driver,Medical expenses,Towing service,Daily transport allowance,age,marital_status,gender,driving_years,no_claims_discount,car_bought_years,car_brand,car_type
Aviva,"4.4
  / 10","$ 2,615 /year ",13 Reviews ,Aviva Car ,$2000,"Insured: $20,000
Optional: Increase of $100,000","$1,000 per person",Covered,Optional: 10 days,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
Hong Leong Group,"7.6
  / 10","$ 2,800 /year $3,733",20 Reviews ,HL Assurance - Authorised Workshop 25% Off,$375,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
Hong Leong Group,"6.8
  / 10","$ 3,294 /year $4,392",20 Reviews ,HL Assurance - Any Workshop 25% Off,$750,"$20,000","$1,000 per person",$500,"$50/day, max 10 days",58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
Tokio Marine,"8.0
  / 10",Quotes not available online,0 Review ,Private Car ,Not available,"Insured: $50,000","$1,000 per person",$500,$40 per day,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
AXA,"7.2
  / 10",Quotes not available online,0 Review ,Essential+ ,Not available,Optional benefit,"$1,000 per person",$500,$100 per day,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
AIG,"6.8
  / 10",Quotes not available online,2 Reviews ,Auto Plus ,Not available,"Insured: $50,000",$300 per person,$500,Courtesy car,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
AIG,"6.0
  / 10",Quotes not available online,2 Reviews ,Auto Value ,Not available,"Insured: $20,000",$300 per person,$500,Optional: Courtesy car,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
AIG,"5.2
  / 10",Quotes not available online,2 Reviews ,Auto Plan ,Not available,"Insured: $20,000",$300 per person,$300,Optional: Courtesy car,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Flexi ,Not available,Optional benefit,"$1,000 per person",$500,,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Peace ,Not available,Optional benefit,"$1,000 per person",$500,,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
AXA,"4.0
  / 10",Quotes not available online,0 Review ,Essential ,Not available,Optional benefit,Optional benefit,$500,,58,Single,Male,5,10%,2012,SAAB,9-5 2.3 Aero
