Companies,Cov_Score,Prices,Reviews,Title,Excess,Personal accident coverage for driver,Medical expenses,Towing service,Daily transport allowance,age,marital_status,gender,driving_years,no_claims_discount,car_bought_years,car_brand,car_type
DirectAsia,"4.0
  / 10","$ 2,443 /year ",30 Reviews ,"Red: Low Mileage Plan (Maximum 8,000km per year) ",$800,"Optional Benefit:
Up to $500,000","Up to $500/person
(Driver & Passengers)","Singapore: Max $200
West Malaysia/Southern Thailand: Max $500","Optional Benefit:
$50/day, max 10 days
(Max 20 days/policy period)",60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
DirectAsia,"4.0
  / 10","$ 3,108 /year ",30 Reviews ,Yellow: Unlimited Mileage Plan ,$800,"Optional Benefit:
Up to $500,000","Up to $500/person
(Driver & Passengers)","Singapore: Max $200
West Malaysia/Southern Thailand: Max $500","Optional Benefit:
$50/day, max 10 days
(Max 20 days/policy period)",60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
Aviva,"4.4
  / 10","$ 3,545 /year ",13 Reviews ,Aviva Car ,$3000,"Insured: $20,000
Optional: Increase of $100,000","$1,000 per person",Covered,Optional: 10 days,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
DirectAsia,"7.6
  / 10","$ 3,693 /year ",30 Reviews ,Black ,$500,"$100,000","Up to $500/person
(Driver & Passengers)","Singapore: Max $200
West Malaysia / Southern Thailand: Max $500","$50/day, max 10 days
(Max 20 days/policy period)",60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
Tokio Marine,"8.0
  / 10",Quotes not available online,0 Review ,Private Car ,Not available,"Insured: $50,000","$1,000 per person",$500,$40 per day,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
AXA,"7.2
  / 10",Quotes not available online,0 Review ,Essential+ ,Not available,Optional benefit,"$1,000 per person",$500,$100 per day,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
AIG,"6.8
  / 10",Quotes not available online,2 Reviews ,Auto Plus ,Not available,"Insured: $50,000",$300 per person,$500,Courtesy car,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
AXA,"6.4
  / 10",Quotes not available online,0 Review ,ForHer ,Not available,Optional benefit,"$1,000 per person",$500,$50 per day,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
AIG,"6.0
  / 10",Quotes not available online,2 Reviews ,Auto Value ,Not available,"Insured: $20,000",$300 per person,$500,Optional: Courtesy car,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
AIG,"5.2
  / 10",Quotes not available online,2 Reviews ,Auto Plan ,Not available,"Insured: $20,000",$300 per person,$300,Optional: Courtesy car,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
AXA,"5.2
  / 10",Quotes not available online,0 Review ,Flexi ,Not available,Optional benefit,"$1,000 per person",$500,,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
AXA,"4.0
  / 10",Quotes not available online,0 Review ,Essential ,Not available,Optional benefit,Optional benefit,$500,,60,Married,Female,8,0%,2004,PORSCHE,Macan S 3.0
